,Company,Year,Quarter,Capital L1,Capital L2,Capital L3,Value
2,Primmum Insurance Company,2020,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Primmum Insurance Company,2020,Q3,Capital Available,Total Capital Available,Other,0
4,Primmum Insurance Company,2020,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,"42,275"
5,Primmum Insurance Company,2020,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,"68,805"
6,Primmum Insurance Company,2020,Q3,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Primmum Insurance Company,2020,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,"5,626"
8,Primmum Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Interest rate risk,"1,323"
9,Primmum Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,Primmum Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Equity risk,0
11,Primmum Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Real estate risk,0
12,Primmum Insurance Company,2020,Q3,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Primmum Insurance Company,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"22,163"
14,Primmum Insurance Company,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,162
15,Primmum Insurance Company,2020,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"4,800"
16,Primmum Insurance Company,2020,Q3,Capital Margin Required,Operational Risk,Operational risk margin,"40,616"
17,Primmum Insurance Company,2020,Q3,Diversification Credit,Diversification Credit,Less: Diversification credit,"11,926"
18,Primmum Insurance Company,2020,Q3,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"115,896"
19,Primmum Insurance Company,2020,Q3,Capital Available,Total Capital Available,Other,0
0,Primmum Insurance Company,2020,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"281,614"
1,Primmum Insurance Company,2020,Q2,Capital Available,Total Capital Available,Other,0
2,Primmum Insurance Company,2020,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Primmum Insurance Company,2020,Q2,Capital Available,Total Capital Available,Other,0
4,Primmum Insurance Company,2020,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,"38,207"
5,Primmum Insurance Company,2020,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,"64,291"
6,Primmum Insurance Company,2020,Q2,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Primmum Insurance Company,2020,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,483
8,Primmum Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Interest rate risk,"1,010"
9,Primmum Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,Primmum Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Equity risk,0
11,Primmum Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Real estate risk,0
12,Primmum Insurance Company,2020,Q2,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Primmum Insurance Company,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"17,545"
14,Primmum Insurance Company,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,170
15,Primmum Insurance Company,2020,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"4,240"
16,Primmum Insurance Company,2020,Q2,Capital Margin Required,Operational Risk,Operational risk margin,"37,398"
17,Primmum Insurance Company,2020,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,"9,768"
18,Primmum Insurance Company,2020,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"102,384"
19,Primmum Insurance Company,2020,Q2,Capital Available,Total Capital Available,Other,0
0,Primmum Insurance Company,2020,Q1,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"278,165"
1,Primmum Insurance Company,2020,Q1,Capital Available,Total Capital Available,Other,0
2,Primmum Insurance Company,2020,Q1,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Primmum Insurance Company,2020,Q1,Capital Available,Total Capital Available,Other,0
4,Primmum Insurance Company,2020,Q1,Capital Margin Required,Insurance Risk,Premium liabilities,"37,197"
5,Primmum Insurance Company,2020,Q1,Capital Margin Required,Insurance Risk,Unpaid claims,"64,354"
6,Primmum Insurance Company,2020,Q1,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Primmum Insurance Company,2020,Q1,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,291
8,Primmum Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Interest rate risk,"2,004"
9,Primmum Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,Primmum Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Equity risk,0
11,Primmum Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Real estate risk,0
12,Primmum Insurance Company,2020,Q1,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Primmum Insurance Company,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"18,327"
14,Primmum Insurance Company,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,153
15,Primmum Insurance Company,2020,Q1,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"4,244"
16,Primmum Insurance Company,2020,Q1,Capital Margin Required,Operational Risk,Operational risk margin,"36,775"
17,Primmum Insurance Company,2020,Q1,Diversification Credit,Diversification Credit,Less: Diversification credit,"10,374"
18,Primmum Insurance Company,2020,Q1,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"101,981"
19,Primmum Insurance Company,2020,Q1,Capital Available,Total Capital Available,Other,0
0,Primmum Insurance Company,2019,Q4,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"272,935"
1,Primmum Insurance Company,2019,Q4,Capital Available,Total Capital Available,Other,0
2,Primmum Insurance Company,2019,Q4,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Primmum Insurance Company,2019,Q4,Capital Available,Total Capital Available,Other,0
4,Primmum Insurance Company,2019,Q4,Capital Margin Required,Insurance Risk,Premium liabilities,"38,848"
5,Primmum Insurance Company,2019,Q4,Capital Margin Required,Insurance Risk,Unpaid claims,"64,141"
6,Primmum Insurance Company,2019,Q4,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Primmum Insurance Company,2019,Q4,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,95
8,Primmum Insurance Company,2019,Q4,Capital Margin Required,Market Risk,Interest rate risk,838
9,Primmum Insurance Company,2019,Q4,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,Primmum Insurance Company,2019,Q4,Capital Margin Required,Market Risk,Equity risk,0
11,Primmum Insurance Company,2019,Q4,Capital Margin Required,Market Risk,Real estate risk,0
12,Primmum Insurance Company,2019,Q4,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Primmum Insurance Company,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"17,653"
14,Primmum Insurance Company,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,152
15,Primmum Insurance Company,2019,Q4,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"4,205"
16,Primmum Insurance Company,2019,Q4,Capital Margin Required,Operational Risk,Operational risk margin,"35,794"
17,Primmum Insurance Company,2019,Q4,Diversification Credit,Diversification Credit,Less: Diversification credit,"9,727"
18,Primmum Insurance Company,2019,Q4,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"101,333"
19,Primmum Insurance Company,2019,Q4,Capital Available,Total Capital Available,Other,0
0,Primmum Insurance Company,2019,Q3,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"267,587"
1,Primmum Insurance Company,2019,Q3,Capital Available,Total Capital Available,Other,0
2,Primmum Insurance Company,2019,Q3,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Primmum Insurance Company,2019,Q3,Capital Available,Total Capital Available,Other,0
4,Primmum Insurance Company,2019,Q3,Capital Margin Required,Insurance Risk,Premium liabilities,"36,506"
5,Primmum Insurance Company,2019,Q3,Capital Margin Required,Insurance Risk,Unpaid claims,"63,668"
6,Primmum Insurance Company,2019,Q3,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Primmum Insurance Company,2019,Q3,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,208
8,Primmum Insurance Company,2019,Q3,Capital Margin Required,Market Risk,Interest rate risk,976
9,Primmum Insurance Company,2019,Q3,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,Primmum Insurance Company,2019,Q3,Capital Margin Required,Market Risk,Equity risk,0
11,Primmum Insurance Company,2019,Q3,Capital Margin Required,Market Risk,Real estate risk,0
12,Primmum Insurance Company,2019,Q3,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Primmum Insurance Company,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"17,852"
14,Primmum Insurance Company,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,155
15,Primmum Insurance Company,2019,Q3,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"3,602"
16,Primmum Insurance Company,2019,Q3,Capital Margin Required,Operational Risk,Operational risk margin,"34,650"
17,Primmum Insurance Company,2019,Q3,Diversification Credit,Diversification Credit,Less: Diversification credit,"9,593"
18,Primmum Insurance Company,2019,Q3,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"98,683"
19,Primmum Insurance Company,2019,Q3,Capital Available,Total Capital Available,Other,0
0,Primmum Insurance Company,2019,Q2,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"263,819"
1,Primmum Insurance Company,2019,Q2,Capital Available,Total Capital Available,Other,0
2,Primmum Insurance Company,2019,Q2,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Primmum Insurance Company,2019,Q2,Capital Available,Total Capital Available,Other,0
4,Primmum Insurance Company,2019,Q2,Capital Margin Required,Insurance Risk,Premium liabilities,"33,381"
5,Primmum Insurance Company,2019,Q2,Capital Margin Required,Insurance Risk,Unpaid claims,"62,777"
6,Primmum Insurance Company,2019,Q2,Capital Margin Required,Insurance Risk,Catastrophes,0
7,Primmum Insurance Company,2019,Q2,Capital Margin Required,Insurance Risk,Margin required for reinsurance ceded to unregistered insurers,75
8,Primmum Insurance Company,2019,Q2,Capital Margin Required,Market Risk,Interest rate risk,"3,805"
9,Primmum Insurance Company,2019,Q2,Capital Margin Required,Market Risk,Foreign exchange risk,0
10,Primmum Insurance Company,2019,Q2,Capital Margin Required,Market Risk,Equity risk,0
11,Primmum Insurance Company,2019,Q2,Capital Margin Required,Market Risk,Real estate risk,0
12,Primmum Insurance Company,2019,Q2,Capital Margin Required,Market Risk,Other market risk exposures,0
13,Primmum Insurance Company,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for balance sheet assets,"18,006"
14,Primmum Insurance Company,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for offbalance sheet exposures,155
15,Primmum Insurance Company,2019,Q2,Capital Margin Required,Credit Risk,Counterparty default risk for unregistered reinsurance collateral and SIRs,"3,512"
16,Primmum Insurance Company,2019,Q2,Capital Margin Required,Operational Risk,Operational risk margin,"33,672"
17,Primmum Insurance Company,2019,Q2,Diversification Credit,Diversification Credit,Less: Diversification credit,"10,528"
18,Primmum Insurance Company,2019,Q2,Minimum Capital Required,Minimum Capital Required,Minimum Capital (Margin) Required (line 59 / 1.5),"96,570"
19,Primmum Insurance Company,2019,Q2,Capital Available,Total Capital Available,Other,0
0,Primmum Insurance Company,2019,Q1,Capital Available,Total Capital Available,Capital available (from page 30.62  capital available),"251,368"
1,Primmum Insurance Company,2019,Q1,Capital Available,Total Capital Available,Other,0
2,Primmum Insurance Company,2019,Q1,Assets Available,Assets Available,Net Assets Available (from page 30.92  net assets available),0
3,Primmum Insurance Company,2019,Q1,Capital Available,Total Capital Available,Other,0
4,Primmum Insurance Company,2019,Q1,Capital Margin Required,Insurance Risk,Premium liabilities,"33,007"
5,Primmum Insurance Company,2019,Q1,Capital Margin Required,Insurance Risk,Unpaid claims,"63,365"
6,Primmum Insurance Company,2019,Q1,Capital Margin Required,Insurance Risk,Catastrophes,0
